match_type,match_value,canonical_exchange,suffixes,priority,is_active,note
exact,ABU DHABI SECURITIES EXCHANGE,ABU_DHABI_SECURITIES_EXCHANGE,AD,10,1,UAE ADX
exact,DUBAI FINANCIAL MARKET,DUBAI_FINANCIAL_MARKET,DU,10,1,UAE DFM
exact,PHILIPPINE STOCK EXCHANGE INC.,PHILIPPINE_STOCK_EXCHANGE,PS,10,1,Philippines
exact,BOLSA MEXICANA DE VALORES,BOLSA_MEXICANA_DE_VALORES,MX,10,1,Mexico
exact,BUDAPEST STOCK EXCHANGE,BUDAPEST_STOCK_EXCHANGE,BD,10,1,Hungary
exact,ATHENS EXCHANGE S.A. CASH MARKET,ATHENS_EXCHANGE,AT,10,1,Greece
exact,HONG KONG EXCHANGES AND CLEARING LTD,HONG_KONG_EXCHANGE,HK,10,1,HKEX
exact,INDONESIA STOCK EXCHANGE,INDONESIA_STOCK_EXCHANGE,JK,10,1,Indonesia
exact,ISTANBUL STOCK EXCHANGE,ISTANBUL_STOCK_EXCHANGE,IS,10,1,Turkey
exact,JOHANNESBURG STOCK EXCHANGE,JOHANNESBURG_STOCK_EXCHANGE,JO,10,1,South Africa
exact,KOREA EXCHANGE (STOCK MARKET),KOREA_STOCK_EXCHANGE,KS,10,1,KOSPI
exact,KOREA EXCHANGE (KOSDAQ),KOREA_KOSDAQ,KQ,10,1,KOSDAQ
exact,KUWAIT STOCK EXCHANGE,KUWAIT_STOCK_EXCHANGE,KW,10,1,Kuwait
exact,NATIONAL STOCK EXCHANGE OF INDIA,NSE_INDIA,NS,10,1,India NSE
exact,BSE LTD,BSE_INDIA,BO,10,1,India BSE
exact,PRAGUE STOCK EXCHANGE,PRAGUE_STOCK_EXCHANGE,PR,10,1,Czech Republic
exact,QATAR EXCHANGE,QATAR_EXCHANGE,QA,10,1,Qatar
exact,SANTIAGO STOCK EXCHANGE,SANTIAGO_STOCK_EXCHANGE,SN,10,1,Chile
exact,SAUDI STOCK EXCHANGE,SAUDI_STOCK_EXCHANGE,SR,10,1,Saudi Arabia
exact,SHANGHAI STOCK EXCHANGE,SHANGHAI_STOCK_EXCHANGE,SS,10,1,China Shanghai
exact,SHENZHEN STOCK EXCHANGE,SHENZHEN_STOCK_EXCHANGE,SZ,10,1,China Shenzhen
exact,STOCK EXCHANGE OF THAILAND,THAILAND_STOCK_EXCHANGE,BK,10,1,Thailand
exact,TAIWAN STOCK EXCHANGE,TAIWAN_STOCK_EXCHANGE,TW,10,1,Taiwan TWSE
exact,GRETAI SECURITIES MARKET,TAIWAN_OTC,TWO,10,1,Taiwan OTC
exact,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,WARSAW_STOCK_EXCHANGE,WA,10,1,Poland
exact,BURSA MALAYSIA,BURSA_MALAYSIA,KL,10,1,Malaysia
exact,XBSP,BRAZIL_B3,SA,10,1,Brazil B3
exact,ASX - ALL MARKETS,AUSTRALIAN_SECURITIES_EXCHANGE,AX,10,1,Australia
exact,BOLSA DE MADRID,BOLSA_DE_MADRID,MC,10,1,Spain
exact,BORSA ITALIANA,BORSA_ITALIANA,MI,10,1,Italy
